selector,beta,p,ell,list_log2,collision_list_log2,iteration_log2,mean_inverse_success_log2,expected_work_log2,gain_vs_uniform_prange_bits
leakage,4.0,2,7,32.58502120293836,-46.83012636473319,32.58502120293836,117.33894389932594,149.9239651022643,-21.923965102264305
leakage,8.0,2,7,32.58502120293836,-46.83012636473319,32.58502120293836,131.48272073122496,164.0677419341633,-36.06774193416331
uniform,0.0,2,7,32.58502120293836,-46.83012636473319,32.58502120293836,114.83953069468835,147.4245518976267,-19.4245518976267
leakage,0.0,2,8,32.58502120293836,-62.83013370301417,32.58502120293836,114.84088151252335,147.42590271546172,-19.425902715461717
leakage,0.25,2,8,32.58502120293836,-62.83013370301417,32.58502120293836,114.5985517793554,147.18357298229375,-19.183572982293754
leakage,0.5,2,8,32.58502120293836,-62.83013370301417,32.58502120293836,114.4130484584244,146.99806966136276,-18.998069661362763
leakage,1.0,2,8,32.58502120293836,-62.83013370301417,32.58502120293836,114.20953602337518,146.79455722631354,-18.794557226313543
leakage,2.0,2,8,32.58502120293836,-62.83013370301417,32.58502120293836,114.44971029017844,147.0347314931168,-19.034731493116794
leakage,4.0,2,8,32.58502120293836,-62.83013370301417,32.58502120293836,117.34030494818019,149.92532615111855,-21.925326151118554
leakage,8.0,2,8,32.58502120293836,-62.83013370301417,32.58502120293836,131.48409490671503,164.06911610965338,-36.06911610965338
uniform,0.0,2,8,32.58502120293836,-62.83013370301417,32.58502120293836,114.84088151252335,147.42590271546172,-19.425902715461703
leakage,0.0,2,9,32.58503587811945,-78.83014104144443,32.58503587811945,114.8422323327509,147.42726821087035,-19.427268210870352
leakage,0.25,2,9,32.58503587811945,-78.83014104144443,32.58503587811945,114.59990243333365,147.1849383114531,-19.184938311453095
leakage,0.5,2,9,32.58503587811945,-78.83014104144443,32.58503587811945,114.41439893975681,146.99943481787625,-18.99943481787625
leakage,1.0,2,9,32.58503587811945,-78.83014104144443,32.58503587811945,114.21088612627024,146.7959220043897,-18.795922004389695
leakage,2.0,2,9,32.58503587811945,-78.83014104144443,32.58503587811945,114.45105953081804,147.03609540893748,-19.036095408937484
leakage,4.0,2,9,32.58503587811945,-78.83014104144443,32.58503587811945,117.34165306269576,149.9266889408152,-21.92668894081521
leakage,8.0,2,9,32.58503587811945,-78.83014104144443,32.58503587811945,131.4854476459412,164.07048352406065,-36.07048352406065
uniform,0.0,2,9,32.58503587811945,-78.83014104144443,32.58503587811945,114.8422323327509,147.42726821087035,-19.427268210870338
leakage,0.0,2,10,32.58503587811945,-94.8301483798747,32.58503587811945,114.84358315297844,147.4286190310979,-19.428619031097895
leakage,0.25,2,10,32.58503587811945,-94.8301483798747,32.58503587811945,114.60125363141977,147.18628950953922,-19.186289509539222
leakage,0.5,2,10,32.58503587811945,-94.8301483798747,32.58503587811945,114.41575064967932,147.00078652779877,-19.000786527798766
leakage,1.0,2,10,32.58503587811945,-94.8301483798747,32.58503587811945,114.2122392006292,146.79727507874864,-18.79727507874864
leakage,2.0,2,10,32.58503587811945,-94.8301483798747,32.58503587811945,114.45241625580448,147.03745213392392,-19.03745213392392
leakage,4.0,2,10,32.58503587811945,-94.8301483798747,32.58503587811945,117.34301820892155,149.928054087041,-21.928054087041005
leakage,8.0,2,10,32.58503587811945,-94.8301483798747,32.58503587811945,131.4868275761337,164.07186345425313,-36.07186345425313
uniform,0.0,2,10,32.58503587811945,-94.8301483798747,32.58503587811945,114.84358315297844,147.4286190310979,-19.42861903109788
leakage,0.0,2,11,32.58505055315128,-110.83015571845422,32.58505055315128,114.84493397559834,147.42998452874963,-19.42998452874963
leakage,0.25,2,11,32.58505055315128,-110.83015571845422,32.58505055315128,114.6026046402478,147.18765519339908,-19.18765519339908
leakage,0.5,2,11,32.58505055315128,-110.83015571845422,32.58505055315128,114.41710195952172,147.00215251267298,-19.00215251267298
leakage,1.0,2,11,32.58505055315128,-110.83015571845422,32.58505055315128,114.21359143095341,146.79864198410468,-18.798641984104677
leakage,2.0,2,11,32.58505055315128,-110.83015571845422,32.58505055315128,114.45377136136823,147.0388219145195,-19.038821914519502
leakage,4.0,2,11,32.58505055315128,-110.83015571845422,32.58505055315128,117.34438129099857,149.92943184414986,-21.92943184414986
leakage,8.0,2,11,32.58505055315128,-110.83015571845422,32.58505055315128,131.48820657195418,164.07325712510544,-36.07325712510544
uniform,0.0,2,11,32.58505055315128,-110.83015571845422,32.58505055315128,114.84493397559834,147.42998452874963,-19.429984528749614
leakage,0.0,2,12,32.58505055315128,-126.83016305703379,32.58505055315128,114.84628479821824,147.4313353513695,-19.431335351369512
leakage,0.25,2,12,32.58505055315128,-126.83016305703379,32.58505055315128,114.60395437546508,147.18900492861636,-19.189004928616356
leakage,0.5,2,12,32.58505055315128,-126.83016305703379,32.58505055315128,114.41845054390967,147.00350109706096,-19.003501097060962
leakage,1.0,2,12,32.58505055315128,-126.83016305703379,32.58505055315128,114.21493749097402,146.7999880441253,-18.799988044125314
leakage,2.0,2,12,32.58505055315128,-126.83016305703379,32.58505055315128,114.45511141611541,147.0401619692667,-19.040161969266705
leakage,4.0,2,12,32.58505055315128,-126.83016305703379,32.58505055315128,117.3457064371575,149.9307569903088,-21.930756990308794
